gene_names
Ugt2b35
Cbr3
Gsta3
Gsta4
Gstm2
Gstm3
Gstm6
Gstm7
Rrm1
Rrm2
Tk1
Uck2
Ggt5
Idh2
Cldn1
Cldn15
Cldn2
Cldn4
Cldn8
Ccnd1
Cdk4
Cftr
Jun
Amot
Tiam1
