gene_names
Gsta3
Foxm1
Bub1b
Top2a
Neil3
Kif20b
Atad2
Plk4
Nox1
Slfn9
Cenph
Chek1
Clspn
Mcm3
Hells
Hmmr
Cldn2
Shcbp1
Parpbp
Knl1
Isyna1
Racgap1
Kif11
Spc24
Chaf1a
E2f7
Cenpf
Kif14
Kif18b
Stil
Bub1
Ckap2
Ccnb2
Lmnb1
Pif1
Plk1
D17H6S56E-5
Tk1
Ckap2l
Pclaf
Aunip
Gm38905
Cip2a
Mcm5
Aurkb
Smc2
Mad2l1
Cenpe
Ncapd2
Brca1
Sapcd2
Nxpe2
Kif20a
Reg4
Mki67
Zwilch
Mcm6
Depdc1a
Rad51ap1
Otc
Pkp1
Mis18bp1
Kcnn4
Prim1
Mtfr2
Nqo1
Aspm
Pbk
Blm
Kif15
Lrp8
Prc1
Ndc80
Slc23a4
Ccna2
Creb3l1
Traip
Lig1
Fancd2
Rad54b
Nusap1
Kntc1
Tpx2
Cdc45
Gm30233
Eldr
Cdca3
Iqgap3
Dnah8
Cdca7l
E2f8
Cdca2
Esco2
Ttk
Cdc6
Incenp
Cdc25c
Tacc3
Gins2
Spag5
Ccnf
LOC118568032
Gramd2
Topbp1
Ndc1
Ammecr1
Klf12
Rrm2
Cad
Myc
Ncaph
Fam111a
Ncapg2
2810408I11Rik
Ube2c
Gjb2
Nop56
Rmi2
Dtl
Cps1
Shmt1
Nuf2
Uhrf1
Rad51
Polq
Cdca8
Kif22
Rrm1
Fanca
Ercc6l
Ticrr
Chaf1b
Cdca5
Alg8
Fignl1
Prr11
Stmn1
Cluh
Cbs
Suv39h2
Ect2
Cdk1
Lockd
Dlgap5
Ncapg
Pole
Rad54l
Timeless
Cbr3
Gstm3
Pcsk9
Atad3a
Sgo1
Ung
Psrc1
2700038G22Rik
Ska1
Mir17hg
Vars
Aurka
Lgals2
Cftr
Ppan
Noc2l
Cgas
Mcm2
BC055324
Spdl1
Gen1
Skp2
Anln
Trip13
A4gnt
Melk
Tsku
Haspin
Cenpu
Ces1e
Bard1
Rfc4
Hspd1
Tiam1
Acsf2
Rfc5
Tcf19
Htr4
Snhg1
Asf1b
Dctd
Gins1
E2f1
Cenpa
Cldn15
Cenpm
Ccnb1
Hmgn2
Cdc20
Cdo1
Aadac
Kifc1
Wdhd1
Hirip3
Kif18a
1700097N02Rik
Mcm7
Fbxo5
Gm38684
Ptcd3
Ddias
Gm33714
Ankle1
Fancb
Cenpi
Arhgap19
Espl1
Lrr1
Nsl1
C1qbp
Knstrn
Gcat
Gstm2
Cdt1
Pole2
Polr1a
Snrpd1
Pola1
Zfp599
Cenpv
Mcm4
Suv39h1
E2f3
Nek2
Hmga2
Gm30189
A630034I12Rik
Gm33272
Fbxo48
Rangrf
Ifrd2
Dbf4
Mthfd1
Nop16
Tube1
BC049987
Phf11b
Tedc1
Sfxn2
Zfp101
Fen1
Tyms
Ccdc18
Diaph3
Cenpw
Ugt2b35
Kif4
Cep55
Sdad1
Rpusd2
Magohb
Pprc1
Depdc1b
Ccdc34
Cenpq
Mybl2
Gm42226
Sass6
Ahcy
Cenpp
Lgals12
Arhgap11a
Etv4
Birc5
Fubp1
Cdca7
Ptma
Pmf1
LOC108167518
Srsf2
Farsb
Cpox
Eif2b1
Atic
Gemin6
Nhp2
Rcc2
Gnl3
Rnf26
4933406C10Rik
Snhg5
Tcerg1
Nolc1
Noc4l
Cenps
Trim59
Cenpk
Mecr
Pnpt1
Wdr43
G2e3
Mcph1
Dna2
Dhfr
Myb
Tmpo
D930048N14Rik
Dnmt1
Yars2
Mcm10
Gar1
9230105E05Rik
Wdr18
Farsa
Pak6
Ddx11
Cma1
Npm3
Afap1l1
2610318N02Rik
Oip5
Polr1b
Srsf7
Gatm
Smc4
Gtse1
Fanci
Rbmxl1
Mrpl38
Igdcc4
Slc16a6
Rtel1
Cenpn
Slc1a4
Tomm40
Rpp25
Ccnd1
Glt1d1
Ruvbl2
Sae1
Scd2
Chek2
Sfxn1
Kif2c
Mns1
Bcat2
Plch2
Tcof1
Pfas
Hmga1b
A530020G20Rik
Aldh5a1
Nup107
Asb16
Rbbp8nl
Nop2
Uck2
Fbl
Mastl
L2hgdh
Nop58
Wdr75
Alkbh1
Gm13657
Xrcc3
Tardbp
Mlxipl
Mphosph10
Ppil1
Ska3
Dscc1
Rab15
Aaas
Gpld1
Haus4
Dhx9
LOC108167377
Utp15
L1cam
Gart
Cdk4
Gm3325
Exosc2
Lrpprc
Ccne1
Nup133
Taf1d
Lsm2
Pa2g4
Rangap1
Ppp1r14b
Pomt1
Hmga1
Mmab
Vrk1
Troap
Cep295
Atf7ip2
Erfe
Dtymk
Sgf29
Fasn
Gas2l3
Ube2s
Fkbp4
Tars2
Nup155
Rrp9
L3mbtl2
Cdc25b
Ube2t
Gvin1
Cep192
Srpk1
Nde1
Top1mt
Iars
Cdkn3
Sf3b3
Kcnq1
Ddx39a
Hopx
Timm50
Mrps27
Heatr1
Pop1
Cks1b
Hcfc1
Nup205
Cep152
Nasp
Mybbp1a
Qtrt2
Cyp2w1
Nup160
Mlh1
Cdc7
U2af1
Dsn1
Zgrf1
Naa15
Naf1
Nup43
Hoxb9
Mak16
Ccdc58
St6galnac4
Hnrnpa2b1
Pold2
Fxn
Prdx4
Rsl1d1
Vars2
Notch1
Lgr5
Mtx3
Cmss1
Cbx5
Kif23
Pold1
Rfc3
Ptpro
Gm38592
Ubap2
Bora
2210039B01Rik
Nup85
Kif12
Idh3a
Hmgb3
Nol9
St6galnac2
Ranbp1
Wnk4
Ncapd3
Rbm10
Qtrt1
Nrm
Cdk2
Pick1
Hnrnpa1
Rrp12
Rcc1
Nsd2
Cox18
Raver1
Gemin5
Abce1
Pus1
Larp1
Smyd5
9030622O22Rik
Mettl1
Gm30445
Hnrnpd
Aspg
Rpa2
Dkc1
LOC115489981
Srsf10
Sars2
Baiap2l2
Tagap1
Atm
Haus6
Efna4
Lsm11
Gstcd
Piwil4
Naa10
Tonsl
Pidd1
Snrpf
Txndc5
Dis3
Hebp2
H60c
Atr
Fam185a
Rtkn
9330162012Rik
Snhg15
Mlec
Ephb2
Cpsf1
Palb2
Nup93
Ddx56
Xylb
Wdr4
Polr3e
1700001L05Rik
Mrm3
Rab26os
Zmynd19
Srrt
Rnaseh2c
Lacc1
Map3k21
Dck
Naa25
Gm46172
Kifc5b
Sema5a
Khsrp
Zfp692
Gm16863
Gm32912
Nucks1
Lman1
Lipt2
Mfsd10
Ilf2
Ttf2
Ces1f
Gimap9
Kbtbd8
Usp36
Tnfaip8l1
Dnph1
Cntrl
Utp20
Spef1
Senp1
Bsn
Wdr46
